title,score,platform,year
Pokemon Shield,80,Switch,2019
Pokemon Sword / Shield: The Isle of Armor,69,Switch,2020
Pokemon Mystery Dungeon: Rescue Team DX,68,Switch,2020
Pokemon Sword,80,Switch,2019
Pokemon Quest,64,Switch,2018
Pokemon Ultra Sun,84,3DS,2017
Pokemon Super Mystery Dungeon,69,3DS,2015
Pokemon Sun,87,3DS,2016
Pokemon Ultra Moon,84,3DS,2017
"Pokemon: Let's Go, Pikachu!",79,Switch,2018
Pokemon Omega Ruby,83,3DS,2014
Pokemon Mystery Dungeon: Explorers of Sky,54,DS,2009
Pokemon Y,88,3DS,2013
Pokemon Moon,87,3DS,2016
Pokemon Quest,62,iOS,2018
"Pokemon: Let's Go, Eevee!",80,Switch,2018
Pokemon X,87,3DS,2013
Pokemon TCG Online,78,iOS,2014
Pokemon Mystery Dungeon: Gates to Infinity,59,3DS,2013
Pokemon Black Version,87,DS,2011
Pokemon White Version,87,DS,2011
Pokemon XD: Gale of Darkness,64,GC,2005
Pokemon HeartGold Version,87,DS,2010
Pokemon Colosseum,73,GC,2004
Pokemon Platinum Version,83,DS,2009
Pokemon Battle Revolution,53,WII,2007
Pokemon Alpha Sapphire,82,3DS,2014
Pokemon Black Version 2,80,DS,2012
Pokemon SoulSilver Version,87,DS,2010
Pokemon Conquest,80,DS,2012
Pokemon FireRed Version,81,GBA,2004
Pokemon GO,69,iOS,2016
Pokemon Diamond Version,85,DS,2007
Pokemon Emerald Version,76,GBA,2005
Pokemon Mystery Dungeon: Explorers of Time,60,DS,2008
Pokemon Mystery Dungeon: Blue Rescue Team,62,DS,2006
Pokemon Rumble World,58,3DS,2015
Pokemon Ruby Version,82,GBA,2003
Pokemon Pearl Version,85,DS,2007
Pokemon White Version 2,80,DS,2012
Pokemon Mystery Dungeon: Red Rescue Team,67,GBA,2006
Pokemon Mystery Dungeon: Explorers of Darkness,59,DS,2008
Pokemon Ranger,69,DS,2006
Pokemon Snap,77,N64,1999
Pokemon Art Academy,76,3DS,2014
Pokemon Rumble Blast,56,3DS,2011
Pokemon Ranger: Shadows of Almia,68,DS,2008
Pokemon Stadium 2,78,N64,2001
Pokemon Ranger: Guardian Signs,68,DS,2010
Pokemon LeafGreen Version,81,GBA,2004
Pokemon: Magikarp Jump,64,iOS,2017
Pokemon Duel,63,iOS,2017
Pokemon Pinball: Ruby & Sapphire,81,GBA,2003
Pokemon Rumble U,49,WIIU,2013
Pokemon Rumble,59,WII,2009
Pokemon Channel,55,GC,2003
Pokemon Puzzle League,81,N64,2000
Pokemon Ultra Sun & Pokemon Ultra Moon Veteran Trainer's Dual Pack,,3DS,2017
Pokemon Dash,46,DS,2005
Pokemon Shuffle,56,3DS,2015
Pokemon Picross,75,3DS,2015
Pokemon Black and White,,iOS,2011
Pokemon Bank,,3DS,2014
Pokemon Dream Radar,54,3DS,2012
Pokemon Sun and Moon Dual Pack,,3DS,2016
Pokemon Battle Trozei,70,3DS,2014
Pokemon Trozei!,74,DS,2006
Pokemon Box: Ruby and Sapphire,,GC,2004
Pokemon Omega Ruby/Alpha Sapphire Double Pack,,3DS,2014
My Pokemon Ranch,47,WII,2008
Pokemon Shuffle Mobile,62,iOS,2015
Pokemon Project Studio: Red Version,,PC,1999
Pokemon Sun and Pokemon Moon Special Demo Version,,3DS,2016
Pokemon: Battle Arena,,iOS,2011
2048 Pokemon Version (3x3 4x4 5x5 6x6 Board Size - Endless Mode): Logic Number Puzzle Game,,iOS,2014
Pokemon Snap,,WII,2007
2048 Pokemon Version,,iOS,2014
Pokemon Project Studio: Blue Version,,PC,1999
Pokemon Play It!,,PC,2000
For Pokemon - Poke 2048 legend,,iOS,2014
Pokemon Playhouse,,iOS,2017
Monster Quiz - Pokemon Edition Guess Monsters Photo Trivia Poke Games,,iOS,2015
Camp Pokemon,,iOS,2014
Pokemon: Team Turbo,,PC,2005
Pokemon Edition Trivia - Pocket Character Guessing Quiz,,iOS,2015
Pokemon Puzzle League,,WII,2008
Trainers Match - Pokemon Version,,iOS,2015
Pokemon Pokeball MasterMind Action Game,,iOS,2011
Pokemon: Masters Arena,,PC,2004
Guess the Pokemon Character,,iOS,2013
Poke Quiz - For Pokemon,,iOS,2013
Quiz for Pokemon BW,,iOS,2013
Did you know for pokemon,,iOS,2013
ProTrivia- Pokemon edition,,iOS,2012
Capability quiz for Pokemon,,iOS,2012
iQuiz for Pokemon Ruby/ Sapphire/ Emerald Version,,iOS,2012
iQuiz for Pokemon Diamond/ Pearl/Platinum Version,,iOS,2012
iQuiz for Pokemon Black White Version,,iOS,2012
Mega Trivia: Pokemon Edition,,iOS,2012
Great App for Pokemon Trivia,,iOS,2012
Pokemon Puzzle Games & Wallpapers,,iOS,2012
Pill or Pokemon,,iOS,2012
Who's That Pokemon? (2012),,iOS,2012
Pokemon Attack,,iOS,2012
Pokemon World,,iOS,2012
Pokemon: Battle Arena HD,,iOS,2012
Pokemon Battle,,iOS,2011
Pokemon Quiz,,iOS,2011
Pokemon Universe,,iOS,2011
Pokemon Pokeball Game,,iOS,2011
Pokemon catch em,,iOS,2011
Pokemon Typer,,iOS,2011
Pokemon : Find your Pokemon Match,,iOS,2011
Pokemon Type Chart,,iOS,2011
Pokemon Quizz,,iOS,2010
Pokemon FunBlast! Trivia Quiz,,iOS,2010
Pokemon App,,iOS,2010
Pokemon WordSearch,,iOS,2010
Pokemon Cries,,iOS,2010
Pokemon Trivia Quiz,,iOS,2010
Who's That Pokemon?,,iOS,2009
SafariFinder - Find Friend Safaris in Pokemon X and Pokemon Y,,iOS,2015
Memo Game Match Character for Pokemon X Y,,iOS,2015
Maga Rescue Match Game for Pokemon - Matching Pokemon Character more Pokemon Ball and Peka,,iOS,2015
All Guess Pokemon Edition - Generation 3 & 4 - Reveal Trivia Pics to Crack aa Word!,,iOS,2015
Cartoon Quiz For Pokemon Fans - Guess Pokemon Tv Series Edition Anime Characters Names,,iOS,2015
Anime Quiz For Pokemon Fans ~ Name Pokemon Edition Cartoon Characters Pics,,iOS,2015
"Poke Shadow Quiz for Pokemon ~ Omega Ruby, Alpha Sapphire & X Y tv series edition",,iOS,2015
Gym Slots - Pokemon Version,,iOS,2015
Trivia for Pokemon - Fan quiz for the TV animation series,,iOS,2015
Matching Boxes for Pokemon X and Y,,iOS,2015
Dragon Type - Pokemon Edition,,iOS,2015
Trivia Fun - Quiz Game for famous Pokemon series,,iOS,2015
Monster Hunt: Pokemon GS Edition,,iOS,2015
Slice Battle: Pokemon XY Edition,,iOS,2015
Slice Battle: Pokemon DP Edition,,iOS,2015
Guess The Japanese Names - Pokemon Edition,,iOS,2015
Battle Arena: Pokemon BW Edition,,iOS,2015
Slice Battle: Pokemon Edition,,iOS,2015
Monster Hunt: Pokemon RS Edition,,iOS,2015
Monster Hunt: Pokemon XY Edition,,iOS,2015
Monster Hunt: Pokemon Edition,,iOS,2015
Battle Arena: Pokemon GS Edition,,iOS,2015
Training Brain Card For Pokemon Edition,,iOS,2015
2048 Dragon Brain Teasers And Math Logic Puzzle Game - Pokemon Version,,iOS,2014
2048 Pokemon All Generations,,iOS,2014
Slots Party Monster Edition - Let Play Extreme Slot Pokemon Monster Version,,iOS,2014
A Poke Riddle ( Answer Funny Trivia Questions By Guessing All Generation Pokemon Characters ) - Pokemon Edition Quiz Game,,iOS,2014
Tap Battle: Pokemon XY Edition,,iOS,2014
Tap Battle: Pokemon BW Edition,,iOS,2014
Pikachu Smash - Pokemon Edition (The Unofficial Game),,iOS,2014
Tap Battle: Pokemon RS Edition,,iOS,2014
AAA Poke Quiz ( For Pokemon Character Guess ) - pokemon Monster trivia crack questions game series edition,,iOS,2014
2048 Pokemon Version: Survival Endless,,iOS,2014
Tap Battle: Pokemon Edition,,iOS,2014
All Guess Pokemon Edition - Generation 1 & 2 - Reveal Pics to Guess What's the Word,,iOS,2014
Guess Character Game: Pokemon X and Y edition,,iOS,2014
Character Guess - pokemon trivia crack questions - the color pic game quiz series edition,,iOS,2014
2048 for Pokemon Plus!!,,iOS,2014
Ultimate Quiz for Pokemon,,iOS,2014
"Mega Slot- Pokemon Edition: Spin it Pichu, Pikachu, Raichu Way",,iOS,2014
Icontrivia : Pokemon edition,,iOS,2014
Pikachu Pop Mania: Pokemon Edition- The Unofficial Game,,iOS,2013
Poke Quiz - For Pokemon!!,,iOS,2013
Poke Trivia - X and Y Quiz Game for Pokemon,,iOS,2013
Gotta Guess Them All - Pokemon Edition,,iOS,2013
